PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Holden DPW Water Division,L,Brattle Intertie,SW,manganese,0.4,TRUE,6,MA,2019-11-25
Holden DPW Water Division,L,Brattle Intertie,SW,manganese,0.4,TRUE,4.2,MA,2020-02-26
Holden DPW Water Division,L,Salisbury Street Intertie,SW,manganese,0.4,TRUE,7.2,MA,2019-05-22
Holden DPW Water Division,L,Salisbury Street Intertie,SW,manganese,0.4,TRUE,31,MA,2019-08-27
Holden DPW Water Division,L,Salisbury Street Intertie,SW,manganese,0.4,TRUE,2.9,MA,2019-11-25
Holden DPW Water Division,L,Salisbury Street Intertie,SW,manganese,0.4,TRUE,11.4,MA,2020-02-26
Hudson Water Supply,L,Gates Pond WTP,SW,manganese,0.4,TRUE,4.33,MA,2019-05-23
Hudson Water Supply,L,Gates Pond WTP,SW,manganese,0.4,TRUE,3.59,MA,2019-08-20
Hudson Water Supply,L,Gates Pond WTP,SW,manganese,0.4,TRUE,5.32,MA,2020-02-20
Hudson Water Supply,L,Gates Pond WTP,SW,manganese,0.4,TRUE,45.3,MA,2019-11-14
Hudson Water Supply,L,Chestnut Street WTP,GW,manganese,0.4,TRUE,0.509,MA,2019-08-21
Leominster Water Division,L,Fall Brook TP,SW,manganese,0.4,TRUE,17.7,MA,2019-04-04
Leominster Water Division,L,Fall Brook TP,SW,manganese,0.4,TRUE,30.9,MA,2019-07-17
Leominster Water Division,L,Fall Brook TP,SW,manganese,0.4,TRUE,9.73,MA,2019-10-09
Leominster Water Division,L,Fall Brook TP,SW,manganese,0.4,TRUE,12.1,MA,2020-01-15
Leominster Water Division,L,Notown TP,SW,manganese,0.4,TRUE,25.8,MA,2019-04-04
Leominster Water Division,L,Notown TP,SW,manganese,0.4,TRUE,19.9,MA,2019-07-17
Leominster Water Division,L,Notown TP,SW,manganese,0.4,TRUE,11.1,MA,2019-10-09
Leominster Water Division,L,Notown TP,SW,manganese,0.4,TRUE,32.3,MA,2020-01-15
Leominster Water Division,L,Distributing TP,SW,manganese,0.4,TRUE,12.3,MA,2019-04-04
Leominster Water Division,L,Distributing TP,SW,manganese,0.4,TRUE,197,MA,2019-07-17
Leominster Water Division,L,Distributing TP,SW,manganese,0.4,TRUE,22.4,MA,2019-10-09
Leominster Water Division,L,Distributing TP,SW,manganese,0.4,TRUE,28,MA,2020-01-15
Leominster Water Division,L,SE Wells Composite Sample Station,GW,manganese,0.4,TRUE,56.5,MA,2019-04-04
Leominster Water Division,L,SE Wells Composite Sample Station,GW,manganese,0.4,TRUE,3.19,MA,2019-10-09
Marlborough DPW Water Division,L,Cedar Hill Pumping Station,SW,manganese,0.4,TRUE,8.26,MA,2019-01-28
Marlborough DPW Water Division,L,Cedar Hill Pumping Station,SW,manganese,0.4,TRUE,9.2,MA,2019-04-18
Marlborough DPW Water Division,L,Cedar Hill Pumping Station,SW,manganese,0.4,TRUE,6.44,MA,2019-07-23
Marlborough DPW Water Division,L,Cedar Hill Pumping Station,SW,manganese,0.4,TRUE,18,MA,2019-10-24
Maynard DPW Water Division,L,Old Marlboro Road WTP,GW,manganese,0.4,TRUE,247,MA,2020-04-14
Maynard DPW Water Division,L,Well 4 WTP,GW,manganese,0.4,TRUE,1.2,MA,2020-04-14
Maynard DPW Water Division,L,Rockland Avenue WTP,GW,manganese,0.4,TRUE,0.96,MA,2020-04-14
Medfield Water Dept.,L,Elm St. Well #3,GW,manganese,0.4,TRUE,136,MA,2019-04-22
Medfield Water Dept.,L,Elm St. Well #3,GW,manganese,0.4,TRUE,220,MA,2019-10-21
Medfield Water Dept.,L,Elm St. Well #4,GW,manganese,0.4,TRUE,5.79,MA,2019-04-22
Medfield Water Dept.,L,Elm St. Well #4,GW,manganese,0.4,TRUE,5.24,MA,2019-10-21
Medfield Water Dept.,L,Rt. 27 Well #6,GW,manganese,0.4,TRUE,5.74,MA,2019-04-22
Medfield Water Dept.,L,Rt. 27 Well #6,GW,manganese,0.4,TRUE,12.3,MA,2019-10-21
Medway Water & Sewer Department,L,Well #1 (Populatic Street),GW,manganese,0.4,TRUE,24.5,MA,2018-07-17
Medway Water & Sewer Department,L,Well #1 (Populatic Street),GW,manganese,0.4,TRUE,23.5,MA,2019-01-09
Medway Water & Sewer Department,L,Oakland Street Corrosion Control Facility,GW,manganese,0.4,TRUE,198,MA,2018-07-17
Medway Water & Sewer Department,L,Oakland Street Corrosion Control Facility,GW,manganese,0.4,TRUE,153,MA,2019-01-09
Medway Water & Sewer Department,L,Village Street Corrosion Control Facility,GW,manganese,0.4,TRUE,293,MA,2018-07-17
Medway Water & Sewer Department,L,Village Street Corrosion Control Facility,GW,manganese,0.4,TRUE,230,MA,2019-01-09
Medway Water & Sewer Department,L,Industrial Park Road Well #4,GW,manganese,0.4,TRUE,67.5,MA,2018-07-17
Medway Water & Sewer Department,L,Industrial Park Road Well #4,GW,manganese,0.4,TRUE,58.1,MA,2019-01-09
Milford Water Company,L,Dilla WTP,MX,manganese,0.4,TRUE,10.9,MA,2019-06-18
Milford Water Company,L,Dilla WTP,MX,manganese,0.4,TRUE,4.8,MA,2019-09-18
Milford Water Company,L,Dilla WTP,MX,manganese,0.4,TRUE,26.3,MA,2019-12-10
Milford Water Company,L,Dilla WTP,MX,manganese,0.4,TRUE,20.3,MA,2020-03-11
Norfolk Water Division,S,Gold Street TP,GW,manganese,0.4,TRUE,39.597,MA,2019-02-11
Norfolk Water Division,S,Gold Street TP,GW,manganese,0.4,TRUE,24.373,MA,2019-08-06
Norfolk Water Division,S,Spruce Road TP,GW,manganese,0.4,TRUE,114.695,MA,2019-02-11
Norfolk Water Division,S,Spruce Road TP,GW,manganese,0.4,TRUE,100.855,MA,2019-08-06
Northborough Water Department,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,7.81,MA,2019-01-24
Northborough Water Department,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,31.2,MA,2019-04-25
Northborough Water Department,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,5.63,MA,2019-07-23
Northborough Water Department,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,9.38,MA,2019-10-24
Shrewsbury Water Department,L,Home Farm WTP,GW,manganese,0.4,TRUE,87.6,MA,2018-08-22
Southbridge Water Department,L,Southbridge Water Filtration Plant,SW,manganese,0.4,TRUE,6.67,MA,2018-05-08
Southbridge Water Department,L,Southbridge Water Filtration Plant,SW,manganese,0.4,TRUE,48.6,MA,2018-08-14
Southbridge Water Department,L,Southbridge Water Filtration Plant,SW,manganese,0.4,TRUE,16.5,MA,2018-11-07
Southbridge Water Department,L,Southbridge Water Filtration Plant,SW,manganese,0.4,TRUE,7.91,MA,2019-02-14
Upton DPW Water - Wastewater Division,S,Glen Avenue Well TP,GW,manganese,0.4,TRUE,6.19,MA,2020-02-04
Upton DPW Water - Wastewater Division,S,Glen Avenue Well TP,GW,manganese,0.4,TRUE,8.037,MA,2020-08-03
